time,value,date,user
09:14:25,81,2021-11-24,11
09:14:30,80,2021-11-24,11
09:14:45,80,2021-11-24,11
09:14:50,80,2021-11-24,11
09:14:55,79,2021-11-24,11
09:15:00,78,2021-11-24,11
09:15:06,78,2021-11-24,11
09:15:11,79,2021-11-24,11
09:15:26,81,2021-11-24,11
09:15:36,79,2021-11-24,11
09:15:41,78,2021-11-24,11
09:15:46,77,2021-11-24,11
09:15:56,76,2021-11-24,11
09:16:11,76,2021-11-24,11
09:16:26,76,2021-11-24,11
09:16:41,77,2021-11-24,11
09:16:56,77,2021-11-24,11
09:17:01,78,2021-11-24,11
09:17:06,79,2021-11-24,11
09:17:21,79,2021-11-24,11
09:17:31,78,2021-11-24,11
09:17:41,78,2021-11-24,11
09:17:46,78,2021-11-24,11
09:17:51,79,2021-11-24,11
09:18:06,79,2021-11-24,11
09:18:16,79,2021-11-24,11
09:18:26,80,2021-11-24,11
09:18:41,80,2021-11-24,11
09:18:46,81,2021-11-24,11
09:18:51,82,2021-11-24,11
09:19:01,81,2021-11-24,11
09:19:07,81,2021-11-24,11
09:19:12,80,2021-11-24,11
09:19:17,79,2021-11-24,11
09:19:22,78,2021-11-24,11
09:19:32,79,2021-11-24,11
09:19:37,80,2021-11-24,11
09:19:42,81,2021-11-24,11
09:19:47,81,2021-11-24,11
09:19:52,80,2021-11-24,11
09:19:57,81,2021-11-24,11
09:20:12,81,2021-11-24,11
09:20:22,82,2021-11-24,11
09:20:27,85,2021-11-24,11
09:20:42,85,2021-11-24,11
09:20:52,84,2021-11-24,11
09:20:57,81,2021-11-24,11
09:21:02,80,2021-11-24,11
09:21:17,81,2021-11-24,11
09:21:32,81,2021-11-24,11
09:21:37,82,2021-11-24,11
09:21:52,82,2021-11-24,11
09:21:57,82,2021-11-24,11
09:22:02,81,2021-11-24,11
09:22:12,82,2021-11-24,11
09:22:27,82,2021-11-24,11
09:22:32,81,2021-11-24,11
09:22:37,81,2021-11-24,11
09:22:42,80,2021-11-24,11
09:22:47,79,2021-11-24,11
09:22:52,78,2021-11-24,11
09:23:07,78,2021-11-24,11
09:23:22,78,2021-11-24,11
09:23:32,79,2021-11-24,11
09:23:42,80,2021-11-24,11
09:23:47,81,2021-11-24,11
09:23:52,81,2021-11-24,11
09:23:57,82,2021-11-24,11
09:24:07,81,2021-11-24,11
09:24:22,81,2021-11-24,11
09:24:27,83,2021-11-24,11
09:24:42,83,2021-11-24,11
09:24:47,83,2021-11-24,11
09:24:52,82,2021-11-24,11
09:25:07,82,2021-11-24,11
09:25:12,81,2021-11-24,11
09:25:22,82,2021-11-24,11
09:25:37,85,2021-11-24,11
09:25:42,84,2021-11-24,11
09:25:47,82,2021-11-24,11
09:26:02,82,2021-11-24,11
09:26:17,83,2021-11-24,11
09:26:32,83,2021-11-24,11
09:26:37,82,2021-11-24,11
09:26:42,81,2021-11-24,11
09:26:47,80,2021-11-24,11
09:26:52,81,2021-11-24,11
09:26:57,82,2021-11-24,11
09:27:02,83,2021-11-24,11
09:27:07,82,2021-11-24,11
09:27:22,83,2021-11-24,11
09:27:27,84,2021-11-24,11
09:27:32,85,2021-11-24,11
09:27:37,84,2021-11-24,11
09:27:42,83,2021-11-24,11
09:27:47,84,2021-11-24,11
09:27:57,83,2021-11-24,11
09:28:02,82,2021-11-24,11
09:28:12,83,2021-11-24,11
09:28:22,85,2021-11-24,11
09:28:32,86,2021-11-24,11
09:28:42,87,2021-11-24,11
09:28:52,87,2021-11-24,11
