time,value,date,user
15:51:31,92,2021-05-10,5
15:51:36,93,2021-05-10,5
15:51:51,93,2021-05-10,5
15:52:01,92,2021-05-10,5
15:52:16,92,2021-05-10,5
15:52:26,94,2021-05-10,5
15:52:31,93,2021-05-10,5
15:52:46,93,2021-05-10,5
15:52:51,92,2021-05-10,5
15:52:56,91,2021-05-10,5
15:53:01,89,2021-05-10,5
15:53:16,90,2021-05-10,5
15:53:26,91,2021-05-10,5
15:53:41,91,2021-05-10,5
15:53:51,90,2021-05-10,5
15:54:06,90,2021-05-10,5
15:54:11,89,2021-05-10,5
15:54:21,88,2021-05-10,5
15:54:36,88,2021-05-10,5
15:54:41,88,2021-05-10,5
15:54:46,88,2021-05-10,5
15:54:51,88,2021-05-10,5
15:55:06,88,2021-05-10,5
15:55:11,85,2021-05-10,5
15:55:16,85,2021-05-10,5
15:55:22,85,2021-05-10,5
15:55:37,85,2021-05-10,5
15:55:47,86,2021-05-10,5
15:55:52,88,2021-05-10,5
15:55:57,85,2021-05-10,5
15:56:02,84,2021-05-10,5
15:56:17,84,2021-05-10,5
15:56:27,85,2021-05-10,5
15:56:37,86,2021-05-10,5
15:56:42,87,2021-05-10,5
15:56:47,86,2021-05-10,5
15:57:02,86,2021-05-10,5
15:57:07,87,2021-05-10,5
15:57:22,86,2021-05-10,5
15:57:32,87,2021-05-10,5
15:57:42,86,2021-05-10,5
15:57:52,87,2021-05-10,5
15:57:57,88,2021-05-10,5
15:58:12,88,2021-05-10,5
15:58:22,88,2021-05-10,5
15:58:27,88,2021-05-10,5
15:58:42,88,2021-05-10,5
15:58:47,89,2021-05-10,5
15:58:52,88,2021-05-10,5
15:58:57,85,2021-05-10,5
15:59:07,87,2021-05-10,5
15:59:12,88,2021-05-10,5
15:59:17,89,2021-05-10,5
15:59:32,88,2021-05-10,5
15:59:47,89,2021-05-10,5
15:59:52,91,2021-05-10,5
15:59:57,90,2021-05-10,5
16:00:02,89,2021-05-10,5
16:00:07,88,2021-05-10,5
16:00:17,89,2021-05-10,5
16:00:22,91,2021-05-10,5
16:00:27,93,2021-05-10,5
16:00:32,92,2021-05-10,5
16:00:37,91,2021-05-10,5
16:00:47,90,2021-05-10,5
16:00:57,88,2021-05-10,5
16:01:02,87,2021-05-10,5
16:01:17,87,2021-05-10,5
16:01:22,89,2021-05-10,5
16:01:37,89,2021-05-10,5
16:01:42,88,2021-05-10,5
16:01:52,89,2021-05-10,5
16:02:07,89,2021-05-10,5
16:02:17,89,2021-05-10,5
16:02:22,88,2021-05-10,5
16:02:32,88,2021-05-10,5
16:02:37,86,2021-05-10,5
16:02:42,83,2021-05-10,5
16:02:47,84,2021-05-10,5
16:02:52,86,2021-05-10,5
16:03:02,85,2021-05-10,5
16:03:07,83,2021-05-10,5
16:03:12,84,2021-05-10,5
16:03:17,85,2021-05-10,5
16:03:27,86,2021-05-10,5
16:03:32,87,2021-05-10,5
16:03:47,90,2021-05-10,5
16:03:52,90,2021-05-10,5
16:03:57,89,2021-05-10,5
16:04:07,90,2021-05-10,5
16:04:22,91,2021-05-10,5
16:04:27,92,2021-05-10,5
16:04:42,92,2021-05-10,5
16:04:47,92,2021-05-10,5
16:04:52,93,2021-05-10,5
16:04:57,92,2021-05-10,5
