time,value,date,user
10:17:19,83,2021-11-24,8
10:17:34,83,2021-11-24,8
10:17:49,83,2021-11-24,8
10:17:59,82,2021-11-24,8
10:18:14,83,2021-11-24,8
10:18:29,83,2021-11-24,8
10:18:39,84,2021-11-24,8
10:18:49,81,2021-11-24,8
10:18:54,80,2021-11-24,8
10:19:09,81,2021-11-24,8
10:19:24,81,2021-11-24,8
10:19:39,82,2021-11-24,8
10:19:49,83,2021-11-24,8
10:20:04,84,2021-11-24,8
10:20:19,84,2021-11-24,8
10:20:34,84,2021-11-24,8
10:20:49,84,2021-11-24,8
10:20:59,84,2021-11-24,8
10:21:09,84,2021-11-24,8
10:21:14,84,2021-11-24,8
10:21:29,84,2021-11-24,8
10:21:34,83,2021-11-24,8
10:21:39,82,2021-11-24,8
10:21:54,82,2021-11-24,8
10:22:09,83,2021-11-24,8
10:22:14,84,2021-11-24,8
10:22:19,85,2021-11-24,8
10:22:34,85,2021-11-24,8
10:22:49,84,2021-11-24,8
10:22:54,83,2021-11-24,8
10:22:59,82,2021-11-24,8
10:23:04,82,2021-11-24,8
10:23:14,82,2021-11-24,8
10:23:29,82,2021-11-24,8
10:23:44,82,2021-11-24,8
10:23:49,83,2021-11-24,8
10:24:04,83,2021-11-24,8
10:24:14,81,2021-11-24,8
10:24:19,79,2021-11-24,8
10:24:24,78,2021-11-24,8
10:24:39,78,2021-11-24,8
10:24:54,79,2021-11-24,8
10:24:59,80,2021-11-24,8
10:25:09,81,2021-11-24,8
10:25:24,81,2021-11-24,8
10:25:34,81,2021-11-24,8
10:25:44,81,2021-11-24,8
10:25:49,79,2021-11-24,8
10:25:59,78,2021-11-24,8
10:26:14,78,2021-11-24,8
10:26:29,77,2021-11-24,8
10:26:44,77,2021-11-24,8
10:26:45,77,2021-11-24,8
10:27:00,77,2021-11-24,8
10:27:15,77,2021-11-24,8
10:27:30,77,2021-11-24,8
10:27:35,78,2021-11-24,8
10:27:40,77,2021-11-24,8
10:27:50,78,2021-11-24,8
10:28:00,77,2021-11-24,8
10:28:05,76,2021-11-24,8
10:28:20,76,2021-11-24,8
10:28:35,77,2021-11-24,8
10:28:45,80,2021-11-24,8
10:28:50,81,2021-11-24,8
10:28:55,82,2021-11-24,8
10:29:00,83,2021-11-24,8
10:29:10,84,2021-11-24,8
10:29:15,85,2021-11-24,8
10:29:20,86,2021-11-24,8
10:29:25,85,2021-11-24,8
10:29:40,85,2021-11-24,8
10:29:45,83,2021-11-24,8
10:29:55,82,2021-11-24,8
10:30:00,81,2021-11-24,8
10:30:05,80,2021-11-24,8
10:30:11,80,2021-11-24,8
10:30:26,82,2021-11-24,8
10:30:36,83,2021-11-24,8
10:30:51,83,2021-11-24,8
10:31:01,82,2021-11-24,8
10:31:06,81,2021-11-24,8
10:31:11,79,2021-11-24,8
10:31:21,81,2021-11-24,8
10:31:31,82,2021-11-24,8
10:31:36,81,2021-11-24,8
10:31:41,82,2021-11-24,8
10:31:51,83,2021-11-24,8
10:31:56,84,2021-11-24,8
