time,date,ibilist,user,value
10:17:19,2021-11-24,718,8,83
10:17:20,2021-11-24,722,8,83
10:17:21,2021-11-24,733,8,81
10:17:22,2021-11-24,715,8,83
10:17:23,2021-11-24,713,8,84
10:17:24,2021-11-24,719,8,83
10:17:25,2021-11-24,714,8,84
10:17:26,2021-11-24,711,8,84
10:17:27,2021-11-24,721,8,83
10:17:28,2021-11-24,734,8,81
10:17:29,2021-11-24,745,8,80
10:17:30,2021-11-24,729,8,82
10:17:31,2021-11-24,735,8,81
10:17:32,2021-11-24,734,8,81
10:17:33,2021-11-24,755,8,79
10:17:34,2021-11-24,760,8,78
10:17:35,2021-11-24,743,8,80
10:17:36,2021-11-24,734,8,81
10:17:37,2021-11-24,745,8,80
10:17:38,2021-11-24,744,8,80
10:17:39,2021-11-24,741,8,80
10:17:40,2021-11-24,729,8,82
10:17:41,2021-11-24,729,8,82
10:17:42,2021-11-24,747,8,80
10:17:43,2021-11-24,740,8,81
10:17:44,2021-11-24,724,8,82
10:17:45,2021-11-24,743,8,80
10:17:46,2021-11-24,743,8,80
10:17:47,2021-11-24,714,8,84
10:17:48,2021-11-24,729,8,82
10:17:49,2021-11-24,736,8,81
10:17:50,2021-11-24,723,8,82
10:17:51,2021-11-24,730,8,82
10:17:52,2021-11-24,721,8,83
10:17:53,2021-11-24,713,8,84
10:17:54,2021-11-24,713,8,84
10:17:55,2021-11-24,728,8,82
10:17:56,2021-11-24,727,8,82
10:17:57,2021-11-24,717,8,83
10:17:58,2021-11-24,725,8,82
10:17:59,2021-11-24,730,8,82
10:18:00,2021-11-24,714,8,84
10:18:01,2021-11-24,710,8,84
10:18:02,2021-11-24,729,8,82
10:18:03,2021-11-24,747,8,80
10:18:04,2021-11-24,731,8,82
10:18:05,2021-11-24,726,8,82
10:18:06,2021-11-24,733,8,81
10:18:07,2021-11-24,743,8,80
10:18:08,2021-11-24,735,8,81
10:18:09,2021-11-24,729,8,82
10:18:10,2021-11-24,742,8,80
10:18:11,2021-11-24,757,8,79
10:18:12,2021-11-24,736,8,81
10:18:13,2021-11-24,741,8,80
10:18:14,2021-11-24,745,8,80
10:18:15,2021-11-24,745,8,80
10:18:16,2021-11-24,735,8,81
10:18:17,2021-11-24,728,8,82
10:18:18,2021-11-24,751,8,79
10:18:19,2021-11-24,750,8,80
10:18:20,2021-11-24,730,8,82
10:18:21,2021-11-24,730,8,82
10:18:22,2021-11-24,730,8,82
10:18:23,2021-11-24,734,8,81
10:18:24,2021-11-24,717,8,83
10:18:25,2021-11-24,710,8,84
10:18:26,2021-11-24,718,8,83
10:18:27,2021-11-24,694,8,86
10:18:28,2021-11-24,703,8,85
10:18:29,2021-11-24,713,8,84
10:18:30,2021-11-24,716,8,83
10:18:31,2021-11-24,715,8,83
10:18:32,2021-11-24,727,8,82
10:18:33,2021-11-24,733,8,81
10:18:34,2021-11-24,737,8,81
10:18:35,2021-11-24,727,8,82
10:18:36,2021-11-24,730,8,82
10:18:37,2021-11-24,737,8,81
10:18:38,2021-11-24,736,8,81
10:18:39,2021-11-24,714,8,84
10:18:40,2021-11-24,713,8,84
10:18:41,2021-11-24,717,8,83
10:18:42,2021-11-24,719,8,83
10:18:43,2021-11-24,697,8,86
10:18:44,2021-11-24,707,8,84
10:18:45,2021-11-24,722,8,83
10:18:46,2021-11-24,709,8,84
10:18:47,2021-11-24,706,8,84
10:18:48,2021-11-24,721,8,83
10:18:49,2021-11-24,731,8,82
10:18:50,2021-11-24,729,8,82
10:18:51,2021-11-24,716,8,83
10:18:52,2021-11-24,715,8,83
10:18:53,2021-11-24,731,8,82
10:18:54,2021-11-24,746,8,80
10:18:55,2021-11-24,734,8,81
10:18:56,2021-11-24,730,8,82
10:18:57,2021-11-24,711,8,84
10:18:58,2021-11-24,694,8,86
10:18:59,2021-11-24,689,8,87
10:19:00,2021-11-24,683,8,87
10:19:01,2021-11-24,705,8,85
10:19:02,2021-11-24,722,8,83
10:19:03,2021-11-24,725,8,82
10:19:04,2021-11-24,735,8,81
10:19:05,2021-11-24,719,8,83
10:19:06,2021-11-24,710,8,84
10:19:07,2021-11-24,723,8,82
10:19:08,2021-11-24,729,8,82
10:19:09,2021-11-24,717,8,83
10:19:10,2021-11-24,689,8,87
10:19:11,2021-11-24,675,8,88
10:19:12,2021-11-24,673,8,89
10:19:13,2021-11-24,680,8,88
10:19:14,2021-11-24,694,8,86
10:19:15,2021-11-24,712,8,84
10:19:16,2021-11-24,736,8,81
10:19:17,2021-11-24,756,8,79
10:19:18,2021-11-24,757,8,79
10:19:19,2021-11-24,760,8,78
10:19:20,2021-11-24,758,8,79
10:19:21,2021-11-24,768,8,78
10:19:22,2021-11-24,772,8,77
10:19:23,2021-11-24,779,8,77
10:19:24,2021-11-24,786,8,76
10:19:25,2021-11-24,775,8,77
10:19:26,2021-11-24,758,8,79
10:19:27,2021-11-24,746,8,80
10:19:28,2021-11-24,754,8,79
10:19:29,2021-11-24,772,8,77
10:19:30,2021-11-24,765,8,78
10:19:31,2021-11-24,745,8,80
10:19:32,2021-11-24,747,8,80
10:19:33,2021-11-24,754,8,79
10:19:34,2021-11-24,757,8,79
10:19:35,2021-11-24,729,8,82
10:19:36,2021-11-24,748,8,80
10:19:37,2021-11-24,745,8,80
10:19:38,2021-11-24,762,8,78
10:19:39,2021-11-24,732,8,81
10:19:40,2021-11-24,731,8,82
10:19:41,2021-11-24,745,8,80
10:19:42,2021-11-24,751,8,79
10:19:43,2021-11-24,730,8,82
10:19:44,2021-11-24,737,8,81
