time,date,ibilist,user,value
09:48:42,2021-12-09,771,14,77
09:48:43,2021-12-09,770,14,77
09:48:44,2021-12-09,751,14,79
09:48:45,2021-12-09,742,14,80
09:48:46,2021-12-09,738,14,81
09:48:47,2021-12-09,724,14,82
09:48:48,2021-12-09,708,14,84
09:48:49,2021-12-09,712,14,84
09:48:50,2021-12-09,752,14,79
09:48:51,2021-12-09,739,14,81
09:48:52,2021-12-09,735,14,81
09:48:53,2021-12-09,742,14,80
09:48:54,2021-12-09,762,14,78
09:48:55,2021-12-09,777,14,77
09:48:56,2021-12-09,776,14,77
09:48:57,2021-12-09,774,14,77
09:48:58,2021-12-09,786,14,76
09:48:59,2021-12-09,797,14,75
09:49:00,2021-12-09,779,14,77
09:49:01,2021-12-09,779,14,77
09:49:02,2021-12-09,783,14,76
09:49:03,2021-12-09,794,14,75
09:49:04,2021-12-09,779,14,77
09:49:05,2021-12-09,768,14,78
09:49:06,2021-12-09,754,14,79
09:49:07,2021-12-09,738,14,81
09:49:08,2021-12-09,752,14,79
09:49:09,2021-12-09,761,14,78
09:49:10,2021-12-09,767,14,78
09:49:11,2021-12-09,759,14,79
09:49:12,2021-12-09,759,14,79
09:49:13,2021-12-09,776,14,77
09:49:14,2021-12-09,778,14,77
09:49:15,2021-12-09,769,14,78
09:49:16,2021-12-09,769,14,78
09:49:17,2021-12-09,786,14,76
09:49:18,2021-12-09,796,14,75
09:49:19,2021-12-09,800,14,75
09:49:20,2021-12-09,795,14,75
09:49:21,2021-12-09,782,14,76
09:49:22,2021-12-09,769,14,78
09:49:23,2021-12-09,770,14,77
09:49:24,2021-12-09,774,14,77
09:49:25,2021-12-09,770,14,77
09:49:26,2021-12-09,755,14,79
09:49:27,2021-12-09,753,14,79
09:49:28,2021-12-09,755,14,79
09:49:29,2021-12-09,756,14,79
09:49:30,2021-12-09,743,14,80
09:49:31,2021-12-09,743,14,80
09:49:32,2021-12-09,761,14,78
09:49:33,2021-12-09,779,14,77
09:49:34,2021-12-09,778,14,77
09:49:35,2021-12-09,770,14,77
09:49:36,2021-12-09,779,14,77
09:49:37,2021-12-09,788,14,76
09:49:38,2021-12-09,784,14,76
09:49:39,2021-12-09,772,14,77
09:49:40,2021-12-09,771,14,77
09:49:41,2021-12-09,787,14,76
09:49:42,2021-12-09,794,14,75
09:49:43,2021-12-09,780,14,76
09:49:44,2021-12-09,780,14,76
09:49:45,2021-12-09,791,14,75
09:49:46,2021-12-09,778,14,77
09:49:47,2021-12-09,791,14,75
09:49:48,2021-12-09,792,14,75
09:49:49,2021-12-09,794,14,75
09:49:50,2021-12-09,791,14,75
09:49:51,2021-12-09,772,14,77
09:49:52,2021-12-09,793,14,75
09:49:53,2021-12-09,788,14,76
09:49:54,2021-12-09,764,14,78
09:49:55,2021-12-09,742,14,80
09:49:56,2021-12-09,734,14,81
09:49:57,2021-12-09,776,14,77
09:49:58,2021-12-09,762,14,78
09:49:59,2021-12-09,772,14,77
09:50:00,2021-12-09,776,14,77
09:50:01,2021-12-09,769,14,78
09:50:02,2021-12-09,763,14,78
09:50:03,2021-12-09,763,14,78
09:50:04,2021-12-09,743,14,80
09:50:05,2021-12-09,731,14,82
09:50:06,2021-12-09,725,14,82
09:50:07,2021-12-09,742,14,80
09:50:08,2021-12-09,741,14,80
09:50:09,2021-12-09,753,14,79
09:50:10,2021-12-09,776,14,77
09:50:11,2021-12-09,791,14,75
09:50:12,2021-12-09,771,14,77
09:50:13,2021-12-09,792,14,75
09:50:14,2021-12-09,800,14,75
09:50:15,2021-12-09,805,14,74
09:50:16,2021-12-09,805,14,74
09:50:17,2021-12-09,802,14,74
09:50:18,2021-12-09,796,14,75
09:50:19,2021-12-09,766,14,78
09:50:20,2021-12-09,756,14,79
09:50:21,2021-12-09,755,14,79
09:50:22,2021-12-09,755,14,79
09:50:23,2021-12-09,747,14,80
09:50:24,2021-12-09,740,14,81
09:50:25,2021-12-09,736,14,81
09:50:26,2021-12-09,752,14,79
09:50:27,2021-12-09,758,14,79
09:50:28,2021-12-09,748,14,80
09:50:29,2021-12-09,741,14,80
09:50:30,2021-12-09,749,14,80
09:50:31,2021-12-09,772,14,77
09:50:32,2021-12-09,772,14,77
09:50:33,2021-12-09,749,14,80
09:50:34,2021-12-09,753,14,79
09:50:35,2021-12-09,765,14,78
09:50:36,2021-12-09,772,14,77
09:50:37,2021-12-09,768,14,78
09:50:38,2021-12-09,759,14,79
09:50:39,2021-12-09,763,14,78
09:50:40,2021-12-09,773,14,77
09:50:41,2021-12-09,770,14,77
09:50:42,2021-12-09,758,14,79
09:50:43,2021-12-09,755,14,79
09:50:44,2021-12-09,767,14,78
09:50:45,2021-12-09,783,14,76
09:50:46,2021-12-09,767,14,78
09:50:47,2021-12-09,771,14,77
09:50:48,2021-12-09,785,14,76
09:50:49,2021-12-09,798,14,75
09:50:50,2021-12-09,802,14,74
09:50:51,2021-12-09,787,14,76
09:50:52,2021-12-09,795,14,75
09:50:53,2021-12-09,800,14,75
09:50:54,2021-12-09,805,14,74
09:50:55,2021-12-09,791,14,75
09:50:56,2021-12-09,792,14,75
09:50:57,2021-12-09,787,14,76
09:50:58,2021-12-09,794,14,75
09:50:59,2021-12-09,789,14,76
09:51:00,2021-12-09,771,14,77
09:51:01,2021-12-09,773,14,77
09:51:02,2021-12-09,779,14,77
09:51:03,2021-12-09,784,14,76
09:51:04,2021-12-09,769,14,78
09:51:05,2021-12-09,777,14,77
09:51:06,2021-12-09,796,14,75
09:51:07,2021-12-09,810,14,74
09:51:08,2021-12-09,790,14,75
09:51:09,2021-12-09,792,14,75
09:51:10,2021-12-09,793,14,75
09:51:11,2021-12-09,795,14,75
09:51:12,2021-12-09,792,14,75
09:51:13,2021-12-09,773,14,77
09:51:14,2021-12-09,753,14,79
09:51:15,2021-12-09,766,14,78
09:51:16,2021-12-09,781,14,76
09:51:17,2021-12-09,763,14,78
09:51:18,2021-12-09,762,14,78
09:51:19,2021-12-09,767,14,78
09:51:20,2021-12-09,772,14,77
09:51:21,2021-12-09,771,14,77
09:51:22,2021-12-09,759,14,79
09:51:23,2021-12-09,754,14,79
09:51:24,2021-12-09,766,14,78
09:51:25,2021-12-09,769,14,78
09:51:26,2021-12-09,760,14,78
09:51:27,2021-12-09,751,14,79
09:51:28,2021-12-09,754,14,79
09:51:29,2021-12-09,762,14,78
09:51:30,2021-12-09,762,14,78
09:51:31,2021-12-09,752,14,79
09:51:32,2021-12-09,742,14,80
09:51:33,2021-12-09,746,14,80
09:51:34,2021-12-09,757,14,79
09:51:35,2021-12-09,753,14,79
09:51:36,2021-12-09,744,14,80
