time,date,ibilist,user,value
09:24:31,2021-12-09,876,15,68
09:24:32,2021-12-09,875,15,68
09:24:33,2021-12-09,911,15,65
09:24:34,2021-12-09,878,15,68
09:24:35,2021-12-09,880,15,68
09:24:36,2021-12-09,916,15,65
09:24:37,2021-12-09,871,15,68
09:24:38,2021-12-09,877,15,68
09:24:39,2021-12-09,900,15,66
09:24:40,2021-12-09,901,15,66
09:24:41,2021-12-09,868,15,69
09:24:42,2021-12-09,896,15,66
09:24:43,2021-12-09,874,15,68
09:24:44,2021-12-09,853,15,70
09:24:45,2021-12-09,882,15,68
09:24:46,2021-12-09,870,15,68
09:24:47,2021-12-09,855,15,70
09:24:48,2021-12-09,896,15,66
09:24:49,2021-12-09,871,15,68
09:24:50,2021-12-09,872,15,68
09:24:51,2021-12-09,895,15,67
09:24:52,2021-12-09,916,15,65
09:24:53,2021-12-09,873,15,68
09:24:54,2021-12-09,910,15,65
09:24:55,2021-12-09,924,15,64
09:24:56,2021-12-09,880,15,68
09:24:57,2021-12-09,916,15,65
09:24:58,2021-12-09,927,15,64
09:24:59,2021-12-09,883,15,67
09:25:00,2021-12-09,936,15,64
09:25:01,2021-12-09,928,15,64
09:25:02,2021-12-09,893,15,67
09:25:03,2021-12-09,933,15,64
09:25:04,2021-12-09,914,15,65
09:25:05,2021-12-09,877,15,68
09:25:06,2021-12-09,919,15,65
09:25:07,2021-12-09,891,15,67
09:25:08,2021-12-09,857,15,70
09:25:09,2021-12-09,879,15,68
09:25:10,2021-12-09,888,15,67
09:25:11,2021-12-09,856,15,70
09:25:12,2021-12-09,896,15,66
09:25:13,2021-12-09,919,15,65
09:25:14,2021-12-09,882,15,68
09:25:15,2021-12-09,917,15,65
09:25:16,2021-12-09,925,15,64
09:25:17,2021-12-09,875,15,68
09:25:18,2021-12-09,908,15,66
09:25:19,2021-12-09,925,15,64
09:25:20,2021-12-09,868,15,69
09:25:21,2021-12-09,905,15,66
09:25:22,2021-12-09,898,15,66
09:25:23,2021-12-09,860,15,69
09:25:24,2021-12-09,899,15,66
09:25:25,2021-12-09,896,15,66
09:25:26,2021-12-09,862,15,69
09:25:27,2021-12-09,914,15,65
09:25:28,2021-12-09,908,15,66
09:25:29,2021-12-09,859,15,69
09:25:30,2021-12-09,890,15,67
09:25:31,2021-12-09,878,15,68
09:25:32,2021-12-09,854,15,70
09:25:33,2021-12-09,892,15,67
09:25:34,2021-12-09,890,15,67
09:25:35,2021-12-09,862,15,69
09:25:36,2021-12-09,886,15,67
09:25:37,2021-12-09,905,15,66
09:25:38,2021-12-09,863,15,69
09:25:39,2021-12-09,892,15,67
09:25:40,2021-12-09,903,15,66
09:25:41,2021-12-09,862,15,69
09:25:42,2021-12-09,898,15,66
09:25:43,2021-12-09,911,15,65
09:25:44,2021-12-09,876,15,68
09:25:45,2021-12-09,903,15,66
09:25:46,2021-12-09,912,15,65
09:25:47,2021-12-09,865,15,69
09:25:48,2021-12-09,884,15,67
09:25:49,2021-12-09,895,15,67
09:25:50,2021-12-09,858,15,69
09:25:51,2021-12-09,880,15,68
09:25:52,2021-12-09,906,15,66
09:25:53,2021-12-09,856,15,70
09:25:54,2021-12-09,867,15,69
09:25:55,2021-12-09,897,15,66
09:25:56,2021-12-09,870,15,68
09:25:57,2021-12-09,870,15,68
09:25:58,2021-12-09,910,15,65
09:25:59,2021-12-09,886,15,67
09:26:00,2021-12-09,871,15,68
09:26:01,2021-12-09,907,15,66
09:26:02,2021-12-09,893,15,67
09:26:03,2021-12-09,861,15,69
09:26:04,2021-12-09,905,15,66
09:26:05,2021-12-09,903,15,66
09:26:06,2021-12-09,873,15,68
09:26:07,2021-12-09,891,15,67
09:26:08,2021-12-09,920,15,65
09:26:09,2021-12-09,869,15,69
09:26:10,2021-12-09,890,15,67
09:26:11,2021-12-09,911,15,65
09:26:12,2021-12-09,858,15,69
09:26:13,2021-12-09,867,15,69
09:26:14,2021-12-09,893,15,67
09:26:15,2021-12-09,859,15,69
09:26:16,2021-12-09,853,15,70
09:26:17,2021-12-09,900,15,66
09:26:18,2021-12-09,889,15,67
09:26:19,2021-12-09,864,15,69
09:26:20,2021-12-09,903,15,66
09:26:21,2021-12-09,900,15,66
09:26:22,2021-12-09,867,15,69
09:26:23,2021-12-09,902,15,66
09:26:24,2021-12-09,907,15,66
09:26:25,2021-12-09,872,15,68
09:26:26,2021-12-09,900,15,66
09:26:27,2021-12-09,920,15,65
09:26:28,2021-12-09,878,15,68
09:26:29,2021-12-09,895,15,67
09:26:30,2021-12-09,925,15,64
09:26:31,2021-12-09,893,15,67
09:26:32,2021-12-09,917,15,65
09:26:33,2021-12-09,935,15,64
09:26:34,2021-12-09,880,15,68
09:26:35,2021-12-09,919,15,65
09:26:36,2021-12-09,920,15,65
09:26:37,2021-12-09,882,15,68
09:26:38,2021-12-09,911,15,65
09:26:39,2021-12-09,881,15,68
09:26:40,2021-12-09,860,15,69
09:26:41,2021-12-09,909,15,66
