time,value,date,user
10:18:39,78,2021-12-02,9
10:18:54,78,2021-12-02,9
10:18:59,79,2021-12-02,9
10:19:09,80,2021-12-02,9
10:19:19,81,2021-12-02,9
10:19:24,80,2021-12-02,9
10:19:39,80,2021-12-02,9
10:19:54,81,2021-12-02,9
10:20:09,81,2021-12-02,9
10:20:24,81,2021-12-02,9
10:20:29,82,2021-12-02,9
10:20:34,81,2021-12-02,9
10:20:44,82,2021-12-02,9
10:20:59,82,2021-12-02,9
10:21:09,81,2021-12-02,9
10:21:14,80,2021-12-02,9
10:21:29,80,2021-12-02,9
10:21:44,80,2021-12-02,9
10:21:54,81,2021-12-02,9
10:21:59,80,2021-12-02,9
10:22:09,81,2021-12-02,9
10:22:14,80,2021-12-02,9
10:22:29,80,2021-12-02,9
10:22:32,80,2021-12-02,9
10:22:37,81,2021-12-02,9
10:22:42,80,2021-12-02,9
10:22:57,80,2021-12-02,9
10:23:12,80,2021-12-02,9
10:23:17,79,2021-12-02,9
10:23:32,80,2021-12-02,9
10:23:37,81,2021-12-02,9
10:23:42,82,2021-12-02,9
10:23:47,81,2021-12-02,9
10:23:52,82,2021-12-02,9
10:23:57,81,2021-12-02,9
10:24:02,80,2021-12-02,9
10:24:12,79,2021-12-02,9
10:24:17,80,2021-12-02,9
10:24:32,80,2021-12-02,9
10:24:47,79,2021-12-02,9
10:25:02,79,2021-12-02,9
10:25:07,80,2021-12-02,9
10:25:17,79,2021-12-02,9
10:25:22,79,2021-12-02,9
10:25:27,80,2021-12-02,9
10:25:37,79,2021-12-02,9
10:25:42,80,2021-12-02,9
10:25:52,79,2021-12-02,9
10:26:02,80,2021-12-02,9
10:26:17,80,2021-12-02,9
10:26:22,80,2021-12-02,9
10:26:27,81,2021-12-02,9
10:26:32,80,2021-12-02,9
10:26:37,80,2021-12-02,9
10:26:47,81,2021-12-02,9
10:27:02,82,2021-12-02,9
10:27:17,82,2021-12-02,9
10:27:22,83,2021-12-02,9
10:27:27,80,2021-12-02,9
10:27:32,82,2021-12-02,9
10:27:37,83,2021-12-02,9
10:27:52,83,2021-12-02,9
10:27:57,82,2021-12-02,9
10:28:02,83,2021-12-02,9
10:28:17,83,2021-12-02,9
10:28:22,82,2021-12-02,9
10:28:27,83,2021-12-02,9
10:28:42,82,2021-12-02,9
10:28:57,82,2021-12-02,9
10:29:02,81,2021-12-02,9
10:29:17,81,2021-12-02,9
10:29:32,81,2021-12-02,9
10:29:42,82,2021-12-02,9
10:29:52,81,2021-12-02,9
10:30:07,81,2021-12-02,9
10:30:22,81,2021-12-02,9
10:30:28,84,2021-12-02,9
10:30:33,85,2021-12-02,9
10:30:43,86,2021-12-02,9
10:30:48,84,2021-12-02,9
10:30:58,84,2021-12-02,9
10:31:13,84,2021-12-02,9
10:31:18,85,2021-12-02,9
10:31:33,85,2021-12-02,9
10:31:48,86,2021-12-02,9
10:31:53,87,2021-12-02,9
10:31:58,86,2021-12-02,9
10:32:08,84,2021-12-02,9
10:32:23,84,2021-12-02,9
10:32:33,83,2021-12-02,9
10:32:48,83,2021-12-02,9
10:32:58,82,2021-12-02,9
