time,value,date,user
08:58:41,66,2021-12-09,13
08:58:46,65,2021-12-09,13
08:58:52,64,2021-12-09,13
08:59:07,64,2021-12-09,13
08:59:12,65,2021-12-09,13
08:59:17,69,2021-12-09,13
08:59:22,66,2021-12-09,13
08:59:27,65,2021-12-09,13
08:59:37,66,2021-12-09,13
08:59:42,69,2021-12-09,13
08:59:47,70,2021-12-09,13
08:59:57,69,2021-12-09,13
09:00:02,68,2021-12-09,13
09:00:07,66,2021-12-09,13
09:00:12,67,2021-12-09,13
09:00:22,68,2021-12-09,13
09:00:32,69,2021-12-09,13
09:00:47,68,2021-12-09,13
09:00:57,66,2021-12-09,13
09:01:02,66,2021-12-09,13
09:01:07,65,2021-12-09,13
09:01:22,66,2021-12-09,13
09:01:27,68,2021-12-09,13
09:01:32,69,2021-12-09,13
09:01:37,70,2021-12-09,13
09:01:52,70,2021-12-09,13
09:01:57,69,2021-12-09,13
09:02:07,68,2021-12-09,13
09:02:12,69,2021-12-09,13
09:02:17,69,2021-12-09,13
09:02:32,69,2021-12-09,13
09:02:37,69,2021-12-09,13
09:02:47,70,2021-12-09,13
09:02:57,69,2021-12-09,13
09:03:02,68,2021-12-09,13
09:03:17,69,2021-12-09,13
09:03:22,68,2021-12-09,13
09:03:27,68,2021-12-09,13
09:03:42,69,2021-12-09,13
09:03:52,70,2021-12-09,13
09:03:57,68,2021-12-09,13
09:04:02,66,2021-12-09,13
09:04:17,68,2021-12-09,13
09:04:22,69,2021-12-09,13
09:04:27,69,2021-12-09,13
09:04:32,69,2021-12-09,13
09:04:37,69,2021-12-09,13
09:04:47,68,2021-12-09,13
09:04:52,67,2021-12-09,13
09:04:57,66,2021-12-09,13
09:05:02,65,2021-12-09,13
09:05:07,66,2021-12-09,13
09:05:17,64,2021-12-09,13
09:05:22,64,2021-12-09,13
09:05:27,63,2021-12-09,13
09:05:42,64,2021-12-09,13
09:05:47,66,2021-12-09,13
09:05:52,68,2021-12-09,13
09:05:57,70,2021-12-09,13
09:06:02,69,2021-12-09,13
09:06:07,66,2021-12-09,13
09:06:22,66,2021-12-09,13
09:06:32,65,2021-12-09,13
09:06:37,67,2021-12-09,13
09:06:42,68,2021-12-09,13
09:06:47,69,2021-12-09,13
09:06:57,68,2021-12-09,13
09:07:02,66,2021-12-09,13
09:07:07,65,2021-12-09,13
09:07:17,66,2021-12-09,13
09:07:22,67,2021-12-09,13
09:07:32,67,2021-12-09,13
09:07:42,69,2021-12-09,13
09:07:47,72,2021-12-09,13
09:07:52,71,2021-12-09,13
09:08:07,67,2021-12-09,13
09:08:12,64,2021-12-09,13
09:08:17,63,2021-12-09,13
09:08:27,65,2021-12-09,13
09:08:37,66,2021-12-09,13
09:08:42,67,2021-12-09,13
09:08:47,69,2021-12-09,13
09:08:52,68,2021-12-09,13
09:08:57,68,2021-12-09,13
09:09:02,68,2021-12-09,13
09:09:07,67,2021-12-09,13
09:09:12,68,2021-12-09,13
09:09:27,69,2021-12-09,13
09:09:32,67,2021-12-09,13
09:09:37,66,2021-12-09,13
09:09:47,68,2021-12-09,13
09:09:57,67,2021-12-09,13
09:10:02,65,2021-12-09,13
09:10:17,65,2021-12-09,13
09:10:22,65,2021-12-09,13
09:10:27,66,2021-12-09,13
09:10:32,68,2021-12-09,13
09:10:37,67,2021-12-09,13
09:10:47,69,2021-12-09,13
09:10:52,68,2021-12-09,13
09:11:07,68,2021-12-09,13
09:11:12,69,2021-12-09,13
09:11:17,68,2021-12-09,13
09:11:22,66,2021-12-09,13
09:11:27,65,2021-12-09,13
09:11:32,64,2021-12-09,13
09:11:37,64,2021-12-09,13
09:11:47,67,2021-12-09,13
09:11:52,68,2021-12-09,13
09:11:57,67,2021-12-09,13
09:12:02,67,2021-12-09,13
09:12:12,69,2021-12-09,13
09:12:17,71,2021-12-09,13
09:12:22,72,2021-12-09,13
09:12:37,70,2021-12-09,13
09:12:42,69,2021-12-09,13
09:12:52,70,2021-12-09,13
09:12:57,71,2021-12-09,13
