time,value,date,user
09:48:42,70,2021-12-09,14
09:48:52,77,2021-12-09,14
09:48:57,82,2021-12-09,14
09:49:02,80,2021-12-09,14
09:49:07,78,2021-12-09,14
09:49:17,79,2021-12-09,14
09:49:22,77,2021-12-09,14
09:49:27,76,2021-12-09,14
09:49:32,77,2021-12-09,14
09:49:37,80,2021-12-09,14
09:49:52,80,2021-12-09,14
09:49:57,78,2021-12-09,14
09:50:02,77,2021-12-09,14
09:50:17,77,2021-12-09,14
09:50:27,78,2021-12-09,14
09:50:42,78,2021-12-09,14
09:50:57,78,2021-12-09,14
09:51:12,78,2021-12-09,14
09:51:17,79,2021-12-09,14
09:51:32,79,2021-12-09,14
09:51:47,78,2021-12-09,14
09:51:57,79,2021-12-09,14
09:52:07,80,2021-12-09,14
09:52:17,78,2021-12-09,14
09:52:22,77,2021-12-09,14
09:52:27,76,2021-12-09,14
09:52:37,74,2021-12-09,14
09:52:42,74,2021-12-09,14
09:52:57,73,2021-12-09,14
09:53:07,72,2021-12-09,14
09:53:12,68,2021-12-09,14
09:53:27,68,2021-12-09,14
09:53:32,69,2021-12-09,14
09:53:37,78,2021-12-09,14
09:53:42,80,2021-12-09,14
09:53:57,80,2021-12-09,14
09:54:02,82,2021-12-09,14
09:54:07,85,2021-12-09,14
09:54:12,86,2021-12-09,14
09:54:17,86,2021-12-09,14
09:54:32,86,2021-12-09,14
09:54:42,84,2021-12-09,14
09:54:52,84,2021-12-09,14
09:54:57,83,2021-12-09,14
09:55:07,83,2021-12-09,14
09:55:12,82,2021-12-09,14
09:55:17,81,2021-12-09,14
09:55:32,81,2021-12-09,14
09:55:37,81,2021-12-09,14
09:55:47,81,2021-12-09,14
09:55:53,81,2021-12-09,14
09:55:58,79,2021-12-09,14
09:56:03,78,2021-12-09,14
09:56:08,79,2021-12-09,14
09:56:13,82,2021-12-09,14
09:56:18,83,2021-12-09,14
09:56:28,83,2021-12-09,14
09:56:38,83,2021-12-09,14
09:56:53,83,2021-12-09,14
09:57:03,81,2021-12-09,14
09:57:08,80,2021-12-09,14
09:57:18,81,2021-12-09,14
09:57:28,82,2021-12-09,14
09:57:33,81,2021-12-09,14
09:57:38,81,2021-12-09,14
09:57:53,81,2021-12-09,14
09:57:58,81,2021-12-09,14
09:58:08,80,2021-12-09,14
09:58:13,80,2021-12-09,14
09:58:23,81,2021-12-09,14
09:58:38,82,2021-12-09,14
09:58:48,81,2021-12-09,14
09:58:53,81,2021-12-09,14
09:59:03,80,2021-12-09,14
09:59:18,80,2021-12-09,14
09:59:23,79,2021-12-09,14
09:59:38,79,2021-12-09,14
09:59:43,79,2021-12-09,14
09:59:48,80,2021-12-09,14
09:59:53,80,2021-12-09,14
09:59:58,81,2021-12-09,14
10:00:03,82,2021-12-09,14
10:00:08,81,2021-12-09,14
10:00:23,81,2021-12-09,14
10:00:33,80,2021-12-09,14
10:00:48,80,2021-12-09,14
10:00:53,79,2021-12-09,14
