time,value,date,user
16:15:06,74,2021-06-03,6
16:15:21,73,2021-06-03,6
16:15:26,74,2021-06-03,6
16:15:31,75,2021-06-03,6
16:15:46,75,2021-06-03,6
16:15:51,76,2021-06-03,6
16:15:56,75,2021-06-03,6
16:16:11,75,2021-06-03,6
16:16:21,74,2021-06-03,6
16:16:36,74,2021-06-03,6
16:16:38,74,2021-06-03,6
16:16:53,74,2021-06-03,6
16:17:03,73,2021-06-03,6
16:17:08,73,2021-06-03,6
16:17:13,73,2021-06-03,6
16:17:28,73,2021-06-03,6
16:17:38,74,2021-06-03,6
16:17:53,74,2021-06-03,6
16:17:58,73,2021-06-03,6
16:18:03,72,2021-06-03,6
16:18:13,70,2021-06-03,6
16:18:18,71,2021-06-03,6
16:18:33,70,2021-06-03,6
16:18:48,72,2021-06-03,6
16:18:53,80,2021-06-03,6
16:18:58,79,2021-06-03,6
16:19:03,78,2021-06-03,6
16:19:08,76,2021-06-03,6
16:19:13,77,2021-06-03,6
16:19:18,77,2021-06-03,6
16:19:33,77,2021-06-03,6
16:19:48,78,2021-06-03,6
16:19:53,79,2021-06-03,6
16:20:03,80,2021-06-03,6
16:20:08,81,2021-06-03,6
16:20:18,80,2021-06-03,6
16:20:23,80,2021-06-03,6
16:20:28,80,2021-06-03,6
16:20:43,80,2021-06-03,6
16:20:48,79,2021-06-03,6
16:20:53,80,2021-06-03,6
16:21:08,79,2021-06-03,6
16:21:13,78,2021-06-03,6
16:21:18,77,2021-06-03,6
16:21:23,75,2021-06-03,6
16:21:28,74,2021-06-03,6
16:21:38,73,2021-06-03,6
16:21:43,72,2021-06-03,6
16:21:48,73,2021-06-03,6
16:21:53,74,2021-06-03,6
16:22:08,74,2021-06-03,6
16:22:13,75,2021-06-03,6
16:22:18,83,2021-06-03,6
16:22:23,86,2021-06-03,6
16:22:28,87,2021-06-03,6
16:22:33,87,2021-06-03,6
16:22:38,86,2021-06-03,6
16:22:53,86,2021-06-03,6
16:23:08,87,2021-06-03,6
16:23:23,87,2021-06-03,6
16:23:28,88,2021-06-03,6
16:23:34,87,2021-06-03,6
16:23:49,87,2021-06-03,6
16:23:59,86,2021-06-03,6
16:24:04,86,2021-06-03,6
16:24:09,83,2021-06-03,6
16:24:14,82,2021-06-03,6
16:24:24,83,2021-06-03,6
16:24:29,84,2021-06-03,6
16:24:44,84,2021-06-03,6
16:24:54,83,2021-06-03,6
16:24:59,84,2021-06-03,6
16:25:04,85,2021-06-03,6
16:25:14,87,2021-06-03,6
16:25:19,87,2021-06-03,6
16:25:29,87,2021-06-03,6
16:25:34,86,2021-06-03,6
16:25:44,87,2021-06-03,6
16:25:49,88,2021-06-03,6
16:25:54,90,2021-06-03,6
16:25:59,91,2021-06-03,6
16:26:04,92,2021-06-03,6
16:26:09,91,2021-06-03,6
16:26:14,87,2021-06-03,6
16:26:24,86,2021-06-03,6
16:26:29,85,2021-06-03,6
16:26:39,86,2021-06-03,6
16:26:44,86,2021-06-03,6
16:26:49,86,2021-06-03,6
16:27:04,87,2021-06-03,6
16:27:09,86,2021-06-03,6
16:27:14,86,2021-06-03,6
16:27:19,87,2021-06-03,6
16:27:29,85,2021-06-03,6
16:27:44,86,2021-06-03,6
16:27:49,86,2021-06-03,6
16:28:04,86,2021-06-03,6
16:28:09,85,2021-06-03,6
16:28:24,83,2021-06-03,6
16:28:34,82,2021-06-03,6
16:28:44,81,2021-06-03,6
16:28:49,80,2021-06-03,6
16:28:59,81,2021-06-03,6
16:29:04,82,2021-06-03,6
16:29:09,83,2021-06-03,6
16:29:14,83,2021-06-03,6
16:29:19,84,2021-06-03,6
16:29:29,84,2021-06-03,6
16:29:39,83,2021-06-03,6
16:29:54,84,2021-06-03,6
