time,date,ibilist,user,value
09:47:09,2021-11-24,685,10,87
09:47:10,2021-11-24,685,10,87
09:47:11,2021-11-24,684,10,87
09:47:12,2021-11-24,686,10,87
09:47:13,2021-11-24,689,10,87
09:47:14,2021-11-24,690,10,86
09:47:15,2021-11-24,691,10,86
09:47:16,2021-11-24,696,10,86
09:47:17,2021-11-24,696,10,86
09:47:18,2021-11-24,694,10,86
09:47:19,2021-11-24,695,10,86
09:47:20,2021-11-24,695,10,86
09:47:21,2021-11-24,695,10,86
09:47:22,2021-11-24,697,10,86
09:47:23,2021-11-24,695,10,86
09:47:24,2021-11-24,695,10,86
09:47:25,2021-11-24,702,10,85
09:47:26,2021-11-24,698,10,85
09:47:27,2021-11-24,700,10,85
09:47:28,2021-11-24,702,10,85
09:47:29,2021-11-24,700,10,85
09:47:30,2021-11-24,703,10,85
09:47:31,2021-11-24,705,10,85
09:47:32,2021-11-24,704,10,85
09:47:33,2021-11-24,704,10,85
09:47:34,2021-11-24,703,10,85
09:47:35,2021-11-24,705,10,85
09:47:36,2021-11-24,706,10,84
09:47:37,2021-11-24,700,10,85
09:47:38,2021-11-24,701,10,85
09:47:39,2021-11-24,702,10,85
09:47:40,2021-11-24,699,10,85
09:47:41,2021-11-24,696,10,86
09:47:42,2021-11-24,700,10,85
09:47:43,2021-11-24,695,10,86
09:47:44,2021-11-24,696,10,86
09:47:45,2021-11-24,698,10,85
09:47:46,2021-11-24,696,10,86
09:47:47,2021-11-24,698,10,85
09:47:48,2021-11-24,700,10,85
09:47:49,2021-11-24,700,10,85
09:47:50,2021-11-24,701,10,85
09:47:51,2021-11-24,703,10,85
09:47:52,2021-11-24,701,10,85
09:47:53,2021-11-24,700,10,85
09:47:54,2021-11-24,704,10,85
09:47:55,2021-11-24,703,10,85
09:47:56,2021-11-24,704,10,85
09:47:57,2021-11-24,707,10,84
09:47:58,2021-11-24,704,10,85
09:47:59,2021-11-24,706,10,84
09:48:00,2021-11-24,709,10,84
09:48:01,2021-11-24,709,10,84
09:48:02,2021-11-24,711,10,84
09:48:03,2021-11-24,715,10,83
09:48:04,2021-11-24,715,10,83
09:48:05,2021-11-24,715,10,83
09:48:06,2021-11-24,716,10,83
09:48:07,2021-11-24,718,10,83
09:48:08,2021-11-24,715,10,83
09:48:09,2021-11-24,713,10,84
09:48:10,2021-11-24,713,10,84
09:48:11,2021-11-24,712,10,84
09:48:12,2021-11-24,715,10,83
09:48:13,2021-11-24,710,10,84
09:48:14,2021-11-24,709,10,84
09:48:15,2021-11-24,710,10,84
09:48:16,2021-11-24,710,10,84
09:48:17,2021-11-24,710,10,84
09:48:18,2021-11-24,710,10,84
09:48:19,2021-11-24,714,10,84
09:48:20,2021-11-24,711,10,84
09:48:21,2021-11-24,713,10,84
09:48:22,2021-11-24,719,10,83
09:48:23,2021-11-24,714,10,84
09:48:24,2021-11-24,715,10,83
09:48:25,2021-11-24,717,10,83
09:48:26,2021-11-24,711,10,84
09:48:27,2021-11-24,712,10,84
09:48:28,2021-11-24,716,10,83
09:48:29,2021-11-24,718,10,83
09:48:30,2021-11-24,717,10,83
09:48:31,2021-11-24,721,10,83
09:48:32,2021-11-24,724,10,82
09:48:33,2021-11-24,723,10,82
09:48:34,2021-11-24,724,10,82
09:48:35,2021-11-24,725,10,82
09:48:36,2021-11-24,722,10,83
09:48:37,2021-11-24,723,10,82
09:48:38,2021-11-24,722,10,83
09:48:39,2021-11-24,720,10,83
09:48:40,2021-11-24,721,10,83
09:48:41,2021-11-24,719,10,83
09:48:42,2021-11-24,718,10,83
09:48:43,2021-11-24,720,10,83
09:48:44,2021-11-24,448,10,133
09:48:45,2021-11-24,866,10,69
09:48:46,2021-11-24,731,10,82
09:48:47,2021-11-24,729,10,82
09:48:48,2021-11-24,721,10,83
09:48:49,2021-11-24,719,10,83
09:48:50,2021-11-24,718,10,83
09:48:51,2021-11-24,715,10,83
09:48:52,2021-11-24,720,10,83
09:48:53,2021-11-24,718,10,83
09:48:54,2021-11-24,720,10,83
09:48:55,2021-11-24,717,10,83
09:48:56,2021-11-24,721,10,83
09:48:57,2021-11-24,715,10,83
09:48:58,2021-11-24,719,10,83
09:48:59,2021-11-24,718,10,83
09:49:00,2021-11-24,713,10,84
09:49:01,2021-11-24,714,10,84
09:49:02,2021-11-24,716,10,83
09:49:03,2021-11-24,713,10,84
09:49:04,2021-11-24,714,10,84
09:49:05,2021-11-24,716,10,83
09:49:06,2021-11-24,715,10,83
09:49:07,2021-11-24,718,10,83
09:49:08,2021-11-24,717,10,83
09:49:09,2021-11-24,713,10,84
09:49:10,2021-11-24,713,10,84
09:49:11,2021-11-24,713,10,84
09:49:12,2021-11-24,713,10,84
09:49:13,2021-11-24,711,10,84
09:49:14,2021-11-24,710,10,84
09:49:15,2021-11-24,709,10,84
09:49:16,2021-11-24,709,10,84
09:49:17,2021-11-24,707,10,84
09:49:18,2021-11-24,708,10,84
09:49:19,2021-11-24,709,10,84
09:49:20,2021-11-24,709,10,84
09:49:21,2021-11-24,712,10,84
09:49:22,2021-11-24,709,10,84
09:49:23,2021-11-24,714,10,84
09:49:24,2021-11-24,710,10,84
09:49:25,2021-11-24,711,10,84
09:49:26,2021-11-24,711,10,84
09:49:27,2021-11-24,707,10,84
09:49:28,2021-11-24,709,10,84
09:49:29,2021-11-24,708,10,84
09:49:30,2021-11-24,706,10,84
09:49:31,2021-11-24,706,10,84
09:49:32,2021-11-24,707,10,84
09:49:33,2021-11-24,703,10,85
09:49:34,2021-11-24,701,10,85
09:49:35,2021-11-24,704,10,85
09:49:36,2021-11-24,701,10,85
09:49:37,2021-11-24,700,10,85
09:49:38,2021-11-24,702,10,85
09:49:39,2021-11-24,702,10,85
09:49:40,2021-11-24,703,10,85
09:49:41,2021-11-24,700,10,85
09:49:42,2021-11-24,697,10,86
09:49:43,2021-11-24,700,10,85
09:49:44,2021-11-24,701,10,85
09:49:45,2021-11-24,700,10,85
09:49:46,2021-11-24,698,10,85
09:49:47,2021-11-24,697,10,86
09:49:48,2021-11-24,701,10,85
09:49:49,2021-11-24,698,10,85
09:49:50,2021-11-24,699,10,85
09:49:51,2021-11-24,700,10,85
09:49:52,2021-11-24,706,10,84
09:49:53,2021-11-24,708,10,84
09:49:54,2021-11-24,714,10,84
09:49:55,2021-11-24,719,10,83
09:49:56,2021-11-24,721,10,83
09:49:57,2021-11-24,717,10,83
09:49:58,2021-11-24,713,10,84
09:49:59,2021-11-24,711,10,84
09:50:00,2021-11-24,698,10,85
09:50:01,2021-11-24,697,10,86
09:50:02,2021-11-24,694,10,86
09:50:03,2021-11-24,687,10,87
09:50:04,2021-11-24,688,10,87
09:50:05,2021-11-24,688,10,87
09:50:06,2021-11-24,682,10,87
09:50:07,2021-11-24,683,10,87
09:50:08,2021-11-24,686,10,87
09:50:09,2021-11-24,685,10,87
09:50:10,2021-11-24,680,10,88
09:50:11,2021-11-24,678,10,88
09:50:12,2021-11-24,684,10,87
09:50:13,2021-11-24,677,10,88
09:50:14,2021-11-24,681,10,88
09:50:15,2021-11-24,684,10,87
