time,value,date,user
09:24:31,68,2021-12-09,15
09:24:36,67,2021-12-09,15
09:24:46,66,2021-12-09,15
09:24:56,67,2021-12-09,15
09:25:11,67,2021-12-09,15
09:25:21,68,2021-12-09,15
09:25:36,68,2021-12-09,15
09:25:46,67,2021-12-09,15
09:25:51,68,2021-12-09,15
09:26:01,67,2021-12-09,15
09:26:16,67,2021-12-09,15
09:26:26,69,2021-12-09,15
09:26:36,70,2021-12-09,15
09:26:41,69,2021-12-09,15
09:26:56,69,2021-12-09,15
09:27:06,70,2021-12-09,15
09:27:11,71,2021-12-09,15
09:27:16,70,2021-12-09,15
09:27:21,70,2021-12-09,15
09:27:36,70,2021-12-09,15
09:27:46,71,2021-12-09,15
09:27:56,70,2021-12-09,15
09:28:01,69,2021-12-09,15
09:28:16,70,2021-12-09,15
09:28:31,69,2021-12-09,15
09:28:36,68,2021-12-09,15
09:28:41,67,2021-12-09,15
09:28:46,67,2021-12-09,15
09:28:51,69,2021-12-09,15
09:28:56,68,2021-12-09,15
09:29:01,68,2021-12-09,15
09:29:11,69,2021-12-09,15
09:29:16,70,2021-12-09,15
09:29:31,71,2021-12-09,15
09:29:41,72,2021-12-09,15
09:29:46,71,2021-12-09,15
09:29:51,70,2021-12-09,15
09:29:56,69,2021-12-09,15
09:30:01,69,2021-12-09,15
09:30:16,70,2021-12-09,15
09:30:21,71,2021-12-09,15
09:30:26,70,2021-12-09,15
09:30:31,70,2021-12-09,15
09:30:41,69,2021-12-09,15
09:30:46,68,2021-12-09,15
09:30:51,67,2021-12-09,15
09:31:01,68,2021-12-09,15
09:31:06,69,2021-12-09,15
09:31:16,70,2021-12-09,15
09:31:21,69,2021-12-09,15
09:31:26,68,2021-12-09,15
09:31:31,67,2021-12-09,15
09:31:36,67,2021-12-09,15
09:31:46,68,2021-12-09,15
09:31:51,67,2021-12-09,15
09:31:56,66,2021-12-09,15
09:32:06,67,2021-12-09,15
09:32:11,68,2021-12-09,15
09:32:16,69,2021-12-09,15
09:32:21,72,2021-12-09,15
09:32:31,72,2021-12-09,15
09:32:36,71,2021-12-09,15
09:32:42,70,2021-12-09,15
09:32:47,68,2021-12-09,15
09:32:52,67,2021-12-09,15
09:33:02,68,2021-12-09,15
09:33:12,69,2021-12-09,15
09:33:17,69,2021-12-09,15
09:33:27,70,2021-12-09,15
09:33:37,69,2021-12-09,15
09:33:42,68,2021-12-09,15
09:33:57,68,2021-12-09,15
09:34:12,68,2021-12-09,15
09:34:17,68,2021-12-09,15
09:34:27,69,2021-12-09,15
09:34:32,70,2021-12-09,15
09:34:37,69,2021-12-09,15
09:34:42,68,2021-12-09,15
09:34:47,66,2021-12-09,15
09:35:11,67,2021-12-09,15
09:35:26,67,2021-12-09,15
09:35:31,66,2021-12-09,15
09:35:36,65,2021-12-09,15
09:35:41,64,2021-12-09,15
09:35:56,66,2021-12-09,15
09:36:01,67,2021-12-09,15
09:36:11,65,2021-12-09,15
09:36:21,66,2021-12-09,15
09:36:31,68,2021-12-09,15
09:36:46,68,2021-12-09,15
09:36:56,67,2021-12-09,15
09:37:01,67,2021-12-09,15
09:37:11,68,2021-12-09,15
09:37:16,69,2021-12-09,15
09:37:26,68,2021-12-09,15
09:37:41,68,2021-12-09,15
09:37:56,68,2021-12-09,15
09:38:11,69,2021-12-09,15
09:38:26,68,2021-12-09,15
09:38:41,69,2021-12-09,15
09:38:46,68,2021-12-09,15
