time,value,date,user
09:47:09,87,2021-11-24,10
09:47:14,87,2021-11-24,10
09:47:19,86,2021-11-24,10
09:47:34,86,2021-11-24,10
09:47:44,85,2021-11-24,10
09:47:59,85,2021-11-24,10
09:48:09,84,2021-11-24,10
09:48:19,80,2021-11-24,10
09:48:29,81,2021-11-24,10
09:48:34,83,2021-11-24,10
09:48:44,84,2021-11-24,10
09:49:14,70,2021-11-24,10
09:49:24,84,2021-11-24,10
09:49:29,87,2021-11-24,10
09:49:34,86,2021-11-24,10
09:49:39,85,2021-11-24,10
09:49:44,85,2021-11-24,10
09:49:54,85,2021-11-24,10
09:50:09,84,2021-11-24,10
09:50:24,83,2021-11-24,10
09:50:34,84,2021-11-24,10
09:50:49,85,2021-11-24,10
09:50:54,85,2021-11-24,10
09:50:59,86,2021-11-24,10
09:51:04,85,2021-11-24,10
09:51:09,84,2021-11-24,10
09:51:24,85,2021-11-24,10
09:51:34,86,2021-11-24,10
09:51:39,86,2021-11-24,10
09:51:49,85,2021-11-24,10
09:51:59,84,2021-11-24,10
09:52:04,85,2021-11-24,10
09:52:14,84,2021-11-24,10
09:52:24,85,2021-11-24,10
09:52:39,86,2021-11-24,10
09:52:54,85,2021-11-24,10
09:53:09,85,2021-11-24,10
09:53:14,85,2021-11-24,10
09:53:19,84,2021-11-24,10
09:53:29,85,2021-11-24,10
09:53:44,85,2021-11-24,10
09:53:59,84,2021-11-24,10
09:54:09,85,2021-11-24,10
09:54:24,84,2021-11-24,10
09:54:29,85,2021-11-24,10
09:54:39,86,2021-11-24,10
09:54:54,86,2021-11-24,10
09:55:09,86,2021-11-24,10
09:55:24,85,2021-11-24,10
09:55:39,86,2021-11-24,10
09:55:54,86,2021-11-24,10
09:57:58,86,2021-11-24,10
09:58:08,85,2021-11-24,10
09:58:13,86,2021-11-24,10
09:58:28,87,2021-11-24,10
09:58:38,88,2021-11-24,10
09:58:43,87,2021-11-24,10
09:58:53,88,2021-11-24,10
09:59:03,87,2021-11-24,10
09:59:18,87,2021-11-24,10
09:59:28,88,2021-11-24,10
09:59:43,88,2021-11-24,10
09:59:58,88,2021-11-24,10
10:00:13,88,2021-11-24,10
10:00:18,89,2021-11-24,10
10:00:23,88,2021-11-24,10
10:00:38,88,2021-11-24,10
10:00:48,89,2021-11-24,10
10:00:53,88,2021-11-24,10
10:01:08,88,2021-11-24,10
10:01:23,88,2021-11-24,10
10:01:28,86,2021-11-24,10
10:01:38,85,2021-11-24,10
10:01:43,86,2021-11-24,10
10:01:58,86,2021-11-24,10
