time,date,ibilist,user,value
08:58:41,2021-12-09,997,13,60
08:58:42,2021-12-09,956,13,62
08:58:43,2021-12-09,920,13,65
08:58:44,2021-12-09,909,13,66
08:58:45,2021-12-09,943,13,63
08:58:46,2021-12-09,934,13,64
08:58:47,2021-12-09,899,13,66
08:58:48,2021-12-09,893,13,67
08:58:49,2021-12-09,926,13,64
08:58:50,2021-12-09,945,13,63
08:58:51,2021-12-09,925,13,64
08:58:52,2021-12-09,973,13,61
08:58:53,2021-12-09,988,13,60
08:58:54,2021-12-09,969,13,61
08:58:55,2021-12-09,936,13,64
08:58:56,2021-12-09,968,13,61
08:58:57,2021-12-09,964,13,62
08:58:58,2021-12-09,921,13,65
08:58:59,2021-12-09,869,13,69
08:59:00,2021-12-09,893,13,67
08:59:01,2021-12-09,902,13,66
08:59:02,2021-12-09,883,13,67
08:59:03,2021-12-09,852,13,70
08:59:04,2021-12-09,825,13,72
08:59:05,2021-12-09,791,13,75
08:59:06,2021-12-09,778,13,77
08:59:07,2021-12-09,771,13,77
08:59:08,2021-12-09,739,13,81
08:59:09,2021-12-09,776,13,77
08:59:10,2021-12-09,752,13,79
08:59:11,2021-12-09,767,13,78
08:59:12,2021-12-09,755,13,79
08:59:13,2021-12-09,759,13,79
08:59:14,2021-12-09,780,13,76
08:59:15,2021-12-09,802,13,74
08:59:16,2021-12-09,802,13,74
08:59:17,2021-12-09,803,13,74
08:59:18,2021-12-09,827,13,72
08:59:19,2021-12-09,829,13,72
08:59:20,2021-12-09,827,13,72
08:59:21,2021-12-09,825,13,72
08:59:22,2021-12-09,895,13,67
08:59:23,2021-12-09,932,13,64
08:59:24,2021-12-09,924,13,64
08:59:25,2021-12-09,953,13,62
08:59:26,2021-12-09,967,13,62
08:59:27,2021-12-09,989,13,60
08:59:28,2021-12-09,952,13,63
08:59:29,2021-12-09,914,13,65
08:59:30,2021-12-09,930,13,64
08:59:31,2021-12-09,921,13,65
08:59:32,2021-12-09,906,13,66
08:59:33,2021-12-09,918,13,65
08:59:34,2021-12-09,921,13,65
08:59:35,2021-12-09,906,13,66
08:59:36,2021-12-09,902,13,66
08:59:37,2021-12-09,920,13,65
08:59:38,2021-12-09,943,13,63
08:59:39,2021-12-09,916,13,65
08:59:40,2021-12-09,946,13,63
08:59:41,2021-12-09,949,13,63
08:59:42,2021-12-09,918,13,65
08:59:43,2021-12-09,879,13,68
08:59:44,2021-12-09,851,13,70
08:59:45,2021-12-09,835,13,71
08:59:46,2021-12-09,837,13,71
08:59:47,2021-12-09,811,13,73
08:59:48,2021-12-09,773,13,77
08:59:49,2021-12-09,809,13,74
08:59:50,2021-12-09,813,13,73
08:59:51,2021-12-09,850,13,70
08:59:52,2021-12-09,876,13,68
08:59:53,2021-12-09,891,13,67
08:59:54,2021-12-09,879,13,68
08:59:55,2021-12-09,910,13,65
08:59:56,2021-12-09,913,13,65
08:59:57,2021-12-09,902,13,66
08:59:58,2021-12-09,869,13,69
08:59:59,2021-12-09,903,13,66
09:00:00,2021-12-09,894,13,67
09:00:01,2021-12-09,864,13,69
09:00:02,2021-12-09,862,13,69
09:00:03,2021-12-09,901,13,66
09:00:04,2021-12-09,911,13,65
09:00:05,2021-12-09,891,13,67
09:00:06,2021-12-09,878,13,68
09:00:07,2021-12-09,893,13,67
09:00:08,2021-12-09,893,13,67
09:00:09,2021-12-09,876,13,68
09:00:10,2021-12-09,868,13,69
09:00:11,2021-12-09,896,13,66
09:00:12,2021-12-09,898,13,66
09:00:13,2021-12-09,895,13,67
09:00:14,2021-12-09,897,13,66
09:00:15,2021-12-09,928,13,64
09:00:16,2021-12-09,954,13,62
09:00:17,2021-12-09,918,13,65
09:00:18,2021-12-09,901,13,66
09:00:19,2021-12-09,913,13,65
09:00:20,2021-12-09,910,13,65
09:00:21,2021-12-09,887,13,67
09:00:22,2021-12-09,888,13,67
09:00:23,2021-12-09,889,13,67
09:00:24,2021-12-09,879,13,68
09:00:25,2021-12-09,875,13,68
09:00:26,2021-12-09,892,13,67
09:00:27,2021-12-09,884,13,67
09:00:28,2021-12-09,866,13,69
09:00:29,2021-12-09,885,13,67
09:00:30,2021-12-09,889,13,67
09:00:31,2021-12-09,877,13,68
09:00:32,2021-12-09,886,13,67
09:00:33,2021-12-09,883,13,67
09:00:34,2021-12-09,861,13,69
09:00:35,2021-12-09,859,13,69
09:00:36,2021-12-09,875,13,68
09:00:37,2021-12-09,872,13,68
09:00:38,2021-12-09,877,13,68
09:00:39,2021-12-09,861,13,69
09:00:40,2021-12-09,884,13,67
09:00:41,2021-12-09,888,13,67
09:00:42,2021-12-09,864,13,69
09:00:43,2021-12-09,851,13,70
09:00:44,2021-12-09,859,13,69
09:00:45,2021-12-09,863,13,69
09:00:46,2021-12-09,868,13,69
09:00:47,2021-12-09,886,13,67
09:00:48,2021-12-09,915,13,65
09:00:49,2021-12-09,913,13,65
09:00:50,2021-12-09,894,13,67
09:00:51,2021-12-09,863,13,69
09:00:52,2021-12-09,812,13,73
09:00:53,2021-12-09,802,13,74
09:00:54,2021-12-09,775,13,77
09:00:55,2021-12-09,791,13,75
09:00:56,2021-12-09,791,13,75
09:00:57,2021-12-09,817,13,73
09:00:58,2021-12-09,826,13,72
09:00:59,2021-12-09,836,13,71
09:01:00,2021-12-09,874,13,68
09:01:01,2021-12-09,895,13,67
09:01:02,2021-12-09,923,13,65
09:01:03,2021-12-09,939,13,63
09:01:04,2021-12-09,893,13,67
09:01:05,2021-12-09,887,13,67
09:01:06,2021-12-09,865,13,69
09:01:07,2021-12-09,866,13,69
09:01:08,2021-12-09,846,13,70
09:01:09,2021-12-09,838,13,71
09:01:10,2021-12-09,858,13,69
09:01:11,2021-12-09,884,13,67
09:01:12,2021-12-09,917,13,65
09:01:13,2021-12-09,926,13,64
09:01:14,2021-12-09,954,13,62
09:01:15,2021-12-09,962,13,62
09:01:16,2021-12-09,954,13,62
09:01:17,2021-12-09,918,13,65
09:01:18,2021-12-09,899,13,66
09:01:19,2021-12-09,891,13,67
09:01:20,2021-12-09,888,13,67
09:01:21,2021-12-09,864,13,69
09:01:22,2021-12-09,864,13,69
09:01:23,2021-12-09,889,13,67
09:01:24,2021-12-09,878,13,68
09:01:25,2021-12-09,839,13,71
09:01:26,2021-12-09,840,13,71
09:01:27,2021-12-09,850,13,70
09:01:28,2021-12-09,864,13,69
09:01:29,2021-12-09,869,13,69
09:01:30,2021-12-09,914,13,65
09:01:31,2021-12-09,906,13,66
09:01:32,2021-12-09,867,13,69
09:01:33,2021-12-09,844,13,71
09:01:34,2021-12-09,819,13,73
09:01:35,2021-12-09,774,13,77
09:01:36,2021-12-09,755,13,79
09:01:37,2021-12-09,774,13,77
09:01:38,2021-12-09,806,13,74
09:01:39,2021-12-09,817,13,73
09:01:40,2021-12-09,835,13,71
09:01:41,2021-12-09,853,13,70
09:01:42,2021-12-09,873,13,68
09:01:43,2021-12-09,880,13,68
09:01:44,2021-12-09,896,13,66
09:01:45,2021-12-09,874,13,68
09:01:46,2021-12-09,864,13,69
09:01:47,2021-12-09,829,13,72
09:01:48,2021-12-09,848,13,70
09:01:49,2021-12-09,847,13,70
09:01:50,2021-12-09,856,13,70
09:01:51,2021-12-09,846,13,70
09:01:52,2021-12-09,869,13,69
09:01:53,2021-12-09,899,13,66
09:01:54,2021-12-09,875,13,68
09:01:55,2021-12-09,898,13,66
09:01:56,2021-12-09,916,13,65
09:01:57,2021-12-09,858,13,69
09:01:58,2021-12-09,840,13,71
09:01:59,2021-12-09,803,13,74
09:02:00,2021-12-09,786,13,76
09:02:01,2021-12-09,801,13,74
09:02:02,2021-12-09,840,13,71
09:02:03,2021-12-09,891,13,67
09:02:04,2021-12-09,917,13,65
09:02:05,2021-12-09,940,13,63
09:02:06,2021-12-09,934,13,64
09:02:07,2021-12-09,896,13,66
09:02:08,2021-12-09,895,13,67
09:02:09,2021-12-09,888,13,67
09:02:10,2021-12-09,849,13,70
09:02:11,2021-12-09,841,13,71
09:02:12,2021-12-09,863,13,69
09:02:13,2021-12-09,928,13,64
09:02:14,2021-12-09,955,13,62
09:02:15,2021-12-09,942,13,63
09:02:16,2021-12-09,957,13,62
09:02:17,2021-12-09,939,13,63
09:02:18,2021-12-09,903,13,66
09:02:19,2021-12-09,901,13,66
09:02:20,2021-12-09,878,13,68
09:02:21,2021-12-09,866,13,69
09:02:22,2021-12-09,893,13,67
09:02:23,2021-12-09,929,13,64
09:02:24,2021-12-09,947,13,63
09:02:25,2021-12-09,938,13,63
09:02:26,2021-12-09,905,13,66
09:02:27,2021-12-09,917,13,65
09:02:28,2021-12-09,927,13,64
09:02:29,2021-12-09,926,13,64
09:02:30,2021-12-09,918,13,65
09:02:31,2021-12-09,931,13,64
09:02:32,2021-12-09,935,13,64
09:02:33,2021-12-09,894,13,67
09:02:34,2021-12-09,868,13,69
09:02:35,2021-12-09,883,13,67
09:02:36,2021-12-09,901,13,66
09:02:37,2021-12-09,895,13,67
09:02:38,2021-12-09,891,13,67
09:02:39,2021-12-09,869,13,69
09:02:40,2021-12-09,821,13,73
09:02:41,2021-12-09,802,13,74
09:02:42,2021-12-09,844,13,71
09:02:43,2021-12-09,851,13,70
09:02:44,2021-12-09,856,13,70
09:02:45,2021-12-09,878,13,68
09:02:46,2021-12-09,897,13,66
09:02:47,2021-12-09,881,13,68
09:02:48,2021-12-09,861,13,69
09:02:49,2021-12-09,873,13,68
09:02:50,2021-12-09,873,13,68
09:02:51,2021-12-09,881,13,68
09:02:52,2021-12-09,878,13,68
09:02:53,2021-12-09,861,13,69
09:02:54,2021-12-09,873,13,68
09:02:55,2021-12-09,868,13,69
09:02:56,2021-12-09,874,13,68
09:02:57,2021-12-09,863,13,69
09:02:58,2021-12-09,861,13,69
09:02:59,2021-12-09,876,13,68
09:03:00,2021-12-09,859,13,69
09:03:01,2021-12-09,860,13,69
09:03:02,2021-12-09,875,13,68
09:03:03,2021-12-09,883,13,67
09:03:04,2021-12-09,890,13,67
09:03:05,2021-12-09,867,13,69
09:03:06,2021-12-09,874,13,68
09:03:07,2021-12-09,870,13,68
09:03:08,2021-12-09,855,13,70
09:03:09,2021-12-09,861,13,69
09:03:10,2021-12-09,872,13,68
09:03:11,2021-12-09,867,13,69
09:03:12,2021-12-09,848,13,70
09:03:13,2021-12-09,840,13,71
09:03:14,2021-12-09,870,13,68
09:03:15,2021-12-09,878,13,68
09:03:16,2021-12-09,886,13,67
09:03:17,2021-12-09,854,13,70
09:03:18,2021-12-09,853,13,70
09:03:19,2021-12-09,853,13,70
09:03:20,2021-12-09,856,13,70
09:03:21,2021-12-09,847,13,70
09:03:22,2021-12-09,854,13,70
09:03:23,2021-12-09,866,13,69
